path	node	rank
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Sulfophobococcus	Sulfophobococcus	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermogladius	Thermogladius	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera	Thermosphaera	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;uncultured	uncultured	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignicoccaceae	Ignicoccaceae	family
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignicoccaceae;Ignicoccus	Ignicoccus	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignisphaeraceae	Ignisphaeraceae	family
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignisphaeraceae;Ignisphaera	Ignisphaera	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Ignisphaeraceae;uncultured	uncultured	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae	Pyrodictiaceae	family
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus	Hyperthermus	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium	Pyrodictium	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;uncultured	uncultured	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;uncultured	uncultured	family
Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales	Fervidicoccales	order
Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae	Fervidicoccaceae	family
Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus	Fervidicoccus	genus
Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;uncultured	uncultured	genus
Archaea;Crenarchaeota;Thermoprotei;Geoarchaeales	Geoarchaeales	order
Archaea;Crenarchaeota;Thermoprotei;Geoarchaeales;SCGC AAA261-C22	SCGC AAA261-C22	family
Archaea;Crenarchaeota;Thermoprotei;Geoarchaeales;SCGC AAA471-B05	SCGC AAA471-B05	family
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales	Sulfolobales	order
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae	Sulfolobaceae	family
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus	Acidianus	genus
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera	Metallosphaera	genus
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Saccharolobus	Saccharolobus	genus
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Stygiolobus	Stygiolobus	genus
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus	Sulfolobus	genus
