path	node	rank
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae	Monoglobaceae	family
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	Monoglobus	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales	Oscillospirales	order
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae	Butyricicoccaceae	family
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus	Butyricicoccus	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-008	UCG-008	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-009	UCG-009	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;uncultured	uncultured	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ethanoligenenaceae	Ethanoligenenaceae	family
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ethanoligenenaceae;Acetanaerobacterium	Acetanaerobacterium	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ethanoligenenaceae;Ethanoligenens	Ethanoligenens	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ethanoligenenaceae;Incertae Sedis	Incertae Sedis	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ethanoligenenaceae;uncultured	uncultured	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Hydrogenoanaerobacterium	Hydrogenoanaerobacterium	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	Oscillospiraceae	family
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter	Colidextribacter	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor	Flavonifractor	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Intestinimonas	Intestinimonas	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214 group	NK4A214 group	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	Oscillibacter	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillospira	Oscillospira	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Papillibacter	Papillibacter	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Pseudoflavonifractor	Pseudoflavonifractor	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Sporobacter	Sporobacter	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002	UCG-002	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003	UCG-003	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005	UCG-005	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-007	UCG-007	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;uncultured	uncultured	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;V9D2013 group	V9D2013 group	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae	Ruminococcaceae	family
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Anaerofilum	Anaerofilum	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Anaerotruncus	Anaerotruncus	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Angelakisella	Angelakisella	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;CAG-352	CAG-352	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Candidatus Soleaferrea	Candidatus Soleaferrea	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Caproiciproducens	Caproiciproducens	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;DTU089	DTU089	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium	Faecalibacterium	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Fournierella	Fournierella	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Harryflintia	Harryflintia	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae Sedis	Incertae Sedis	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus	Negativibacillus	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Paludicola	Paludicola	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Phocea	Phocea	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Pygmaiobacter	Pygmaiobacter	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus	Ruminococcus	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum	Subdoligranulum	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819	UBA1819	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UCG-001	UCG-001	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;uncultured	uncultured	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Eubacterium] siraeum group	[Eubacterium] siraeum group	genus
Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010	UCG-010	family
Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-011	UCG-011	family
Bacteria;Firmicutes;Clostridia;Oscillospirales;uncultured	uncultured	family
Bacteria;Firmicutes;Clostridia;Oscillospirales;[Clostridium] methylpentosum group	[Clostridium] methylpentosum group	family
Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group	[Eubacterium] coprostanoligenes group	family
Bacteria;Firmicutes;Clostridia;Peptococcales	Peptococcales	order
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae	Peptococcaceae	family
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Dehalobacterium	Dehalobacterium	genus
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Desulfitispora	Desulfitispora	genus
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Desulfonispora	Desulfonispora	genus
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Peptococcus	Peptococcus	genus
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;uncultured	uncultured	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales	order
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Acidaminobacteraceae	Acidaminobacteraceae	family
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Acidaminobacteraceae;Acidaminobacter	Acidaminobacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Alkaliphilus	Alkaliphilus	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerococcus	Anaerococcus	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaeromicrobium	Anaeromicrobium	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerosalibacter	Anaerosalibacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerosphaera	Anaerosphaera	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovirgula	Anaerovirgula	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae	Anaerovoracaceae	family
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Amnipila	Amnipila	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovorax	Anaerovorax	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group	Family XIII AD3011 group	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001	Family XIII UCG-001	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Mogibacterium	Mogibacterium	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;S5-A14a	S5-A14a	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;uncultured	uncultured	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] brachy group	[Eubacterium] brachy group	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] nodatum group	[Eubacterium] nodatum group	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] saphenum group	[Eubacterium] saphenum group	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anoxynatronum	Anoxynatronum	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Brassicibacter	Brassicibacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Caldisalinibacter	Caldisalinibacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Caloranaerobacter	Caloranaerobacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Caminicellaceae	Caminicellaceae	family
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Caminicellaceae;Caminicella	Caminicella	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Caminicellaceae;Paramaledivibacter	Paramaledivibacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Clostridiisalibacter	Clostridiisalibacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Clostridium sensu stricto	Clostridium sensu stricto	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Dethiosulfatibacteraceae	Dethiosulfatibacteraceae	family
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Dethiosulfatibacteraceae;Dethiosulfatibacter	Dethiosulfatibacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Ezakiella	Ezakiella	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Fenollaria	Fenollaria	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Finegoldia	Finegoldia	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Fusibacteraceae	Fusibacteraceae	family
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Fusibacteraceae;Fusibacter	Fusibacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Gallicola	Gallicola	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;GoM-GC232-4463-Bac1	GoM-GC232-4463-Bac1	family
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Gottschalkia	Gottschalkia	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Guggenheimella	Guggenheimella	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Helcococcus	Helcococcus	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;JTB215	JTB215	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Keratinibaculum	Keratinibaculum	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;livecontrolB21	livecontrolB21	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;MCWD3	MCWD3	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Murdochiella	Murdochiella	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Natronincola	Natronincola	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Parvimonas	Parvimonas	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptoniphilus	Peptoniphilus	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae	Peptostreptococcaceae	family
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Acetoanaerobium	Acetoanaerobium	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Asaccharospora	Asaccharospora	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Clostridioides	Clostridioides	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Criibacterium	Criibacterium	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Filifactor	Filifactor	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Intestinibacter	Intestinibacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Paeniclostridium	Paeniclostridium	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Paraclostridium	Paraclostridium	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptoanaerobacter	Peptoanaerobacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptoclostridium	Peptoclostridium	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus	Peptostreptococcus	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Proteocatella	Proteocatella	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia	Romboutsia	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Sporacetigenium	Sporacetigenium	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Tepidibacter	Tepidibacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Terrisporobacter	Terrisporobacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;uncultured	uncultured	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;[Eubacterium] tenue group	[Eubacterium] tenue group	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;[Eubacterium] yurii group	[Eubacterium] yurii group	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Proteiniboraceae	Proteiniboraceae	family
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Proteiniboraceae;Proteiniborus	Proteiniborus	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sedimentibacteraceae	Sedimentibacteraceae	family
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sedimentibacteraceae;Sedimentibacter	Sedimentibacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Serpentinicella	Serpentinicella	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Soehngenia	Soehngenia	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sporanaerobacter	Sporanaerobacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sporosalibacterium	Sporosalibacterium	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Tepidimicrobium	Tepidimicrobium	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Thermohalobacter	Thermohalobacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Thermotaleaceae	Thermotaleaceae	family
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Thermotaleaceae;Anaerosolibacter	Anaerosolibacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Thermotaleaceae;Crassaminicella	Crassaminicella	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Thermotaleaceae;Geosporobacter	Geosporobacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Thermotaleaceae;Salimesophilobacter	Salimesophilobacter	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Thermotaleaceae;Thermotalea	Thermotalea	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Thermotaleaceae;uncultured	uncultured	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Tindallia	Tindallia	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Tissierella	Tissierella	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;uncultured	uncultured	genus
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;W5053	W5053	genus
Bacteria;Firmicutes;Clostridia;Proteinivoracales	Proteinivoracales	order
Bacteria;Firmicutes;Clostridia;Proteinivoracales;Anaerobranca	Anaerobranca	genus
Bacteria;Firmicutes;Clostridia;Proteinivoracales;Proteinivorax	Proteinivorax	genus
Bacteria;Firmicutes;Clostridia;Proteinivoracales;uncultured	uncultured	family
Bacteria;Firmicutes;Clostridia;Thermincolales	Thermincolales	order
Bacteria;Firmicutes;Clostridia;Thermincolales;Thermincolaceae	Thermincolaceae	family
Bacteria;Firmicutes;Clostridia;Thermincolales;Thermincolaceae;Thermincola	Thermincola	genus
Bacteria;Firmicutes;Clostridia;uncultured	uncultured	order
Bacteria;Firmicutes;D8A-2	D8A-2	class
Bacteria;Firmicutes;Desulfitobacteriia	Desulfitobacteriia	class
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales	Desulfitobacteriales	order
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Candidatus Dichloromethanomonas	Candidatus Dichloromethanomonas	genus
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae	Desulfitobacteriaceae	family
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfitobacterium	Desulfitobacterium	genus
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus	Desulfosporosinus	genus
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Heliobacteriaceae	Heliobacteriaceae	family
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Heliobacteriaceae;Candidatus Heliomonas	Candidatus Heliomonas	genus
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Heliobacteriaceae;Heliobacillus	Heliobacillus	genus
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Heliobacteriaceae;Heliobacterium	Heliobacterium	genus
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Heliobacteriaceae;Heliophilum	Heliophilum	genus
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Heliobacteriaceae;Heliorestis	Heliorestis	genus
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Heliobacteriaceae;uncultured	uncultured	genus
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Syntrophobotulaceae	Syntrophobotulaceae	family
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Syntrophobotulaceae;Dehalobacter	Dehalobacter	genus
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Syntrophobotulaceae;Syntrophobotulus	Syntrophobotulus	genus
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;TC1	TC1	genus
Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;uncultured	uncultured	family
Bacteria;Firmicutes;Desulfotomaculia	Desulfotomaculia	class
Bacteria;Firmicutes;Desulfotomaculia;Ammonifexales	Ammonifexales	order
Bacteria;Firmicutes;Desulfotomaculia;Ammonifexales;Ammonificaceae	Ammonificaceae	family
Bacteria;Firmicutes;Desulfotomaculia;Ammonifexales;Ammonificaceae;Ammonifex	Ammonifex	genus
Bacteria;Firmicutes;Desulfotomaculia;Ammonifexales;Ammonificaceae;Desulfothermobacter	Desulfothermobacter	genus
Bacteria;Firmicutes;Desulfotomaculia;Ammonifexales;Ammonificaceae;Thermodesulfitimonas	Thermodesulfitimonas	genus
Bacteria;Firmicutes;Desulfotomaculia;Ammonifexales;Ammonificaceae;uncultured	uncultured	genus
Bacteria;Firmicutes;Desulfotomaculia;Ammonifexales;Desulforudaceae	Desulforudaceae	family
Bacteria;Firmicutes;Desulfotomaculia;Ammonifexales;Desulforudaceae;Candidatus Desulforudis	Candidatus Desulforudis	genus
Bacteria;Firmicutes;Desulfotomaculia;Carboxydothermales	Carboxydothermales	order
Bacteria;Firmicutes;Desulfotomaculia;Carboxydothermales;Carboxydothermaceae	Carboxydothermaceae	family
Bacteria;Firmicutes;Desulfotomaculia;Carboxydothermales;Carboxydothermaceae;Carboxydothermus	Carboxydothermus	genus
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales	Desulfotomaculales	order
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Cryptanaerobacter	Cryptanaerobacter	genus
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Desulfallas-Sporotomaculum	Desulfallas-Sporotomaculum	family
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Desulfallas-Sporotomaculum;BRH-c8a	BRH-c8a	genus
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Desulfofarcimen	Desulfofarcimen	genus
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Desulfofundulus	Desulfofundulus	genus
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Desulfohalotomaculum	Desulfohalotomaculum	genus
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Desulfotomaculum	Desulfotomaculum	genus
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Desulfurispora	Desulfurispora	genus
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Pelotomaculum	Pelotomaculum	genus
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;SCADC1-2-3	SCADC1-2-3	family
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;uncultured	uncultured	family
Bacteria;Firmicutes;Dethiobacteria	Dethiobacteria	class
Bacteria;Firmicutes;Dethiobacteria;Dethiobacterales	Dethiobacterales	order
Bacteria;Firmicutes;Dethiobacteria;Dethiobacterales;Dethiobacteraceae	Dethiobacteraceae	family
Bacteria;Firmicutes;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Candidatus Contubernalis	Candidatus Contubernalis	genus
Bacteria;Firmicutes;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Dethiobacter	Dethiobacter	genus
Bacteria;Firmicutes;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;uncultured	uncultured	genus
Bacteria;Firmicutes;Incertae Sedis	Incertae Sedis	class
Bacteria;Firmicutes;Incertae Sedis;DTU014	DTU014	order
Bacteria;Firmicutes;Incertae Sedis;Gelria	Gelria	genus
Bacteria;Firmicutes;Incertae Sedis;Thermolithobacterales	Thermolithobacterales	order
Bacteria;Firmicutes;Incertae Sedis;Thermolithobacterales;Thermolithobacteraceae	Thermolithobacteraceae	family
Bacteria;Firmicutes;Incertae Sedis;Thermolithobacterales;Thermolithobacteraceae;Thermolithobacter	Thermolithobacter	genus
Bacteria;Firmicutes;Limnochordia	Limnochordia	class
Bacteria;Firmicutes;Limnochordia;B55-F-B-G02	B55-F-B-G02	order
Bacteria;Firmicutes;Limnochordia;Hydrogenispora	Hydrogenispora	genus
Bacteria;Firmicutes;Limnochordia;Limnochordales	Limnochordales	order
Bacteria;Firmicutes;Limnochordia;Limnochordales;Limnochordaceae	Limnochordaceae	family
Bacteria;Firmicutes;Limnochordia;Limnochordales;Limnochordaceae;Limnochorda	Limnochorda	genus
Bacteria;Firmicutes;Limnochordia;Limnochordales;uncultured	uncultured	family
Bacteria;Firmicutes;Limnochordia;M55-D21	M55-D21	order
Bacteria;Firmicutes;Limnochordia;MBA03	MBA03	order
Bacteria;Firmicutes;Limnochordia;uncultured	uncultured	order
Bacteria;Firmicutes;Moorellia	Moorellia	class
Bacteria;Firmicutes;Moorellia;Calderihabitantales	Calderihabitantales	order
Bacteria;Firmicutes;Moorellia;Calderihabitantales;Calderihabitantaceae	Calderihabitantaceae	family
Bacteria;Firmicutes;Moorellia;Calderihabitantales;Calderihabitantaceae;Calderihabitans	Calderihabitans	genus
Bacteria;Firmicutes;Moorellia;Desulfitibacterales	Desulfitibacterales	order
Bacteria;Firmicutes;Moorellia;Desulfitibacterales;Desulfitibacteraceae	Desulfitibacteraceae	family
Bacteria;Firmicutes;Moorellia;Desulfitibacterales;Desulfitibacteraceae;Desulfitibacter	Desulfitibacter	genus
Bacteria;Firmicutes;Moorellia;Moorellales	Moorellales	order
Bacteria;Firmicutes;Moorellia;Moorellales;Moorellaceae	Moorellaceae	family
Bacteria;Firmicutes;Moorellia;Moorellales;Moorellaceae;Moorella	Moorella	genus
Bacteria;Firmicutes;Moorellia;NRB23	NRB23	order
Bacteria;Firmicutes;Natranaerobiia	Natranaerobiia	class
Bacteria;Firmicutes;Natranaerobiia;Natranaerobiales	Natranaerobiales	order
Bacteria;Firmicutes;Natranaerobiia;Natranaerobiales;Natranaerobiaceae	Natranaerobiaceae	family
Bacteria;Firmicutes;Natranaerobiia;Natranaerobiales;Natranaerobiaceae;Natranaerobius	Natranaerobius	genus
Bacteria;Firmicutes;Natranaerobiia;Natranaerobiales;Natranaerobiaceae;Natronovirga	Natronovirga	genus
Bacteria;Firmicutes;Natranaerobiia;Natranaerobiales;Natranaerobiaceae;uncultured	uncultured	genus
Bacteria;Firmicutes;Negativicutes	Negativicutes	class
Bacteria;Firmicutes;Negativicutes;Acidaminococcales	Acidaminococcales	order
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae	Acidaminococcaceae	family
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus	Acidaminococcus	genus
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium	Phascolarctobacterium	genus
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Succiniclasticum	Succiniclasticum	genus
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Succinispira	Succinispira	genus
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;uncultured	uncultured	genus
Bacteria;Firmicutes;Negativicutes;uncultured	uncultured	order
